Wes Jackson;1936;United States;University of Kansas;scientist;no
Norman Borlaug;1914;United States;University of Minnesota;scientist;no
Paul Lauterbur;1929;United States;University of Pittsburgh;scientist;no
Arthur Holmes;1890;England national football team;Royal College of Science;scientist;no
James Lovelock;1919;Hertfordshire;London School of Hygiene & Tropical Medicine;scientist;no
Freeman John Dyson;1923;Berkshire;Cornell University;scientist;no
Henry Moseley;1887;Dorset;Trinity College, Oxford;scientist;no
James Lovelock;1919;England;London School of Hygiene & Tropical Medicine;scientist;no
Martin Evans;1941;Gloucestershire;University College London;scientist;no
Martin Evans;1941;Gloucestershire;Christ's College, Cambridge;scientist;no
Francis Crick;1916;Northamptonshire;University College London;scientist;no
Francis Crick;1916;Northamptonshire;Northampton School for Boys;scientist;no
Alexander Fleming;1881;Scotland;Imperial College London;scientist;no
Alexander Fleming;1881;Scotland;University of Westminster;scientist;no
Murray Batchelor;1961;Australia;Australian National University;scientist;no
Christian Koeberl;1959;Austria;University of Graz;scientist;no
Megh Nad Saha;1893;Bangladesh;Dhaka College;scientist;no
Brian Wilson Kernighan;1942;Canada;Princeton University;scientist;no
Gilbert Plass;1920;Canada;Princeton University;scientist;no
Arthur Philemon Coleman;1852;Canada;Victoria University, Toronto;scientist;no
Luis Davidson San Juan;1921;Cuba;University of Havana;scientist;no
Jacques Forest;1920;France;University of Lille Nord de France;scientist;no
Andreas Mandelis;1952;Greece;Yale University;scientist;no
Sultan Bashiruddin Mahmood;1938;India;University of Manchester;scientist;no
Tathagat Avatar Tulsi;1987;India;Indian Institute of Science;scientist;no
David Deutsch;1953;Israel;Clare College, Cambridge;scientist;no
Amico Bignami;1862;Italy;Sapienza University of Rome;scientist;no
Maarten Schmidt;1929;Netherlands;Leiden Observatory;scientist;no
Cornelis Bernardus van Niel;1897;Netherlands;Delft University of Technology;scientist;no
Benoît Mandelbrot;1924;Poland;University of Paris;scientist;no
Benoît Mandelbrot;1924;Poland;California Institute of Technology;scientist;no
Andrei Linde;1948;Russia;Moscow State University;scientist;no
Alex Rasnitsyn;1936;Russia;Moscow State University;scientist;no
Andrei Dmitrievich Sakharov;1921;Russia;Moscow State University;scientist;no
Kharrasov Mukhamet Hadisovich;1948;Russia;Moscow State University;scientist;no
Arthur Holmes;1890;United Kingdom;Royal College of Science;scientist;no
Andrew Wiles;1953;United Kingdom;Clare College, Cambridge;scientist;no
Alexander Fleming;1881;United Kingdom;Imperial College London;scientist;no
Martin Evans;1941;United Kingdom;University College London;scientist;no
Francis Crick;1916;United Kingdom;University College London;scientist;no
Martin Evans;1941;United Kingdom;Christ's College, Cambridge;scientist;no
